Time(s)	Conductance(uS)
0.000000	13.540500
0.100000	13.666700
0.200000	13.540500
0.300000	13.666700
0.400000	13.793100
0.500000	13.666700
0.600000	13.793100
0.700000	14.046800
0.800000	13.919800
0.900000	14.046800
1.000000	14.174100
1.100000	14.046800
1.200000	14.301700
1.300000	14.429500
1.400000	14.301700
1.500000	14.429500
1.600000	14.429500
1.700000	14.429500
1.800000	14.429500
1.900000	14.557700
2.000000	14.429500
2.100000	14.557700
2.200000	14.814800
2.300000	14.814800
2.400000	14.814800
2.500000	14.814800
2.600000	14.814800
2.700000	14.943800
2.801000	14.814800
2.901000	14.814800
3.001000	14.814800
3.101000	14.814800
3.201000	14.814800
3.301000	14.814800
3.401000	14.814800
3.501000	14.814800
3.601000	12.417600
3.701000	13.038700
3.801000	12.171100
3.901000	11.925600
4.001000	10.000000
4.101000	10.237100
4.201000	12.665200
4.301000	11.803300
4.401000	11.803300
4.501000	12.048200
4.601000	12.417600
4.701000	12.171100
4.801000	12.294200
4.901000	12.294200
5.001000	12.171100
5.101000	12.048200
5.201000	13.289000
5.301000	12.048200
5.401000	12.171100
5.501000	12.913900
5.601000	12.789400
5.702000	12.789400
5.802000	12.541300
5.902000	12.294200
6.002000	12.665200
6.102000	12.417600
6.202000	12.048200
6.302000	12.171100
6.402000	11.195700
6.502000	10.594600
6.602000	10.000000
6.702000	9.881800
6.802000	9.763900
6.902000	10.237100
7.002000	13.414600
7.102000	11.681200
7.202000	13.289000
7.302000	13.414600
7.402000	13.289000
7.502000	13.289000
7.602000	13.289000
7.702000	13.414600
7.802000	13.289000
7.902000	12.789400
8.002000	13.414600
8.102000	13.163700
8.202000	13.414600
8.302000	13.414600
8.402000	13.414600
8.502000	13.414600
8.603000	13.540500
8.703000	13.540500
8.803000	13.540500
8.903000	13.414600
9.003000	13.540500
9.103000	13.666700
9.203000	13.540500
9.303000	13.666700
9.403000	13.793100
9.503000	13.666700
9.603000	13.919800
9.703000	14.046800
9.803000	13.919800
9.903000	14.046800
10.003000	14.301700
10.103000	14.046800
10.203000	14.301700
10.303000	14.429500
10.403000	14.301700
10.503000	14.429500
10.603000	14.557700
10.703000	14.557700
10.803000	14.686100
10.903000	14.814800
11.003000	14.686100
11.103000	14.814800
11.203000	14.814800
11.303000	14.814800
11.403000	14.814800
11.503000	14.943800
11.603000	14.814800
11.703000	14.814800
11.803000	14.814800
11.903000	14.943800
12.003000	14.943800
12.103000	14.943800
12.203000	14.943800
12.303000	14.943800
12.403000	14.943800
12.503000	14.943800
12.603000	14.943800
12.703000	14.943800
12.803000	14.943800
12.903000	14.943800
13.003000	14.943800
13.103000	14.943800
13.203000	14.943800
13.303000	14.943800
13.403000	14.943800
13.503000	14.943800
13.603000	14.943800
13.703000	14.943800
13.803000	14.943800
13.903000	14.943800
14.003000	15.724000
14.103000	14.814800
14.203000	15.593200
14.303000	14.814800
14.403000	14.557700
14.503000	15.073100
14.603000	14.301700
14.703000	14.046800
14.803000	14.301700
14.903000	13.919800
15.003000	14.174100
15.103000	13.919800
15.203000	13.793100
15.303000	13.919800
15.403000	13.666700
15.503000	13.540500
15.603000	13.666700
15.703000	13.540500
15.803000	13.540500
15.903000	13.540500
16.003000	13.414600
16.103000	13.414600
16.203000	13.414600
16.303000	13.414600
16.403000	13.289000
16.503000	13.414600
16.603000	13.289000
16.703000	13.289000
16.803000	13.289000
16.903000	13.414600
17.003000	13.289000
17.103000	13.414600
17.203000	13.414600
17.303000	13.414600
17.403000	13.414600
17.503000	13.414600
17.603000	13.414600
17.703000	13.414600
17.803000	13.540500
17.903000	13.540500
18.003000	13.540500
18.103000	13.540500
18.203000	13.666700
18.303000	13.666700
18.403000	13.666700
18.503000	13.666700
18.603000	13.666700
18.703000	13.793100
18.803000	13.793100
18.903000	13.793100
19.003000	13.793100
19.103000	13.793100
19.203000	13.793100
19.303000	13.919800
19.403000	13.919800
19.503000	14.046800
19.603000	14.301700
19.703000	14.046800
19.803000	14.301700
19.903000	14.429500
